date,weight
2024-03-13T06:17:36,183.8
2024-03-14T06:28:10,185.8
2024-03-18T05:42:20,185.4
2024-03-19T05:33:40,185.0
2024-03-21T05:32:33,183.6
2024-03-22T06:24:19,181.6
2024-03-23T04:09:00,184.0
2024-03-23T04:13:53,183.8
2024-03-24T06:40:34,182.6
2024-03-25T05:33:10,183.0
2024-03-26T05:26:47,182.6
2024-03-27T06:32:58,182.8
2024-03-27T06:33:12,182.8
2024-03-28T06:08:19,184.4
2024-03-29T05:14:03,184.8
2024-03-30T06:23:01,182.8
2024-03-30T06:23:10,182.8
2024-03-31T05:46:56,184.8
2024-04-01T05:38:34,185.8
2024-04-02T05:46:21,183.6
2024-04-03T05:51:11,184.4
2024-04-04T05:19:55,184.4
2024-04-07T04:30:23,184.6
2024-04-11T04:36:37,183.0
2024-04-12T04:48:42,182.6
2024-04-12T19:38:45,185.2
2024-04-13T05:13:14,183.4
2024-04-13T20:12:58,185.0
2024-04-14T04:19:01,183.4
2024-04-15T05:03:44,186.0
2024-04-15T18:19:54,187.0
2024-04-16T04:12:15,186.0
2024-04-16T21:06:42,186.6
2024-04-17T04:46:09,185.0
2024-04-17T04:57:22,184.6
2024-04-17T19:29:08,185.0
2024-04-18T04:38:41,183.6
2024-04-18T04:45:55,183.4
2024-04-18T17:37:33,183.8
2024-04-18T19:07:31,183.6
2024-04-19T05:00:36,181.6
2024-04-19T05:16:14,181.4
2024-04-20T03:30:14,180.2
2024-04-20T12:35:44,182.8
2024-04-21T06:00:57,183.2
2024-04-22T05:10:05,184.0
2024-04-23T06:04:53,184.8
2024-04-24T04:16:14,184.0
2024-04-25T04:24:01,187.2
2024-04-28T06:28:38,183.0
2024-04-30T05:32:22,183.6
2024-05-01T05:04:43,184.8
2024-05-02T05:15:54,183.6
2024-05-03T05:44:17,186.0
2024-05-03T06:06:45,185.6
2024-05-03T06:07:00,185.6
2024-05-04T04:35:06,186.6
2024-05-05T05:58:22,187.8
2024-05-06T05:10:52,186.8
2024-05-07T05:07:18,185.6
2024-05-08T05:08:18,186.0
2024-05-09T05:17:01,184.4
2024-05-09T05:44:00,184.4
2024-05-09T05:44:20,184.4
2024-05-09T20:25:47,186.6
2024-05-10T05:02:11,184.0
2024-05-11T06:15:43,185.4
2024-05-12T07:54:26,185.2
2024-05-13T05:08:35,184.0
2024-05-14T05:09:08,185.4
