date,body_fat_pct,athlete_mode
2024-05-05T05:58:22,16.9,1
2024-05-04T04:35:06,16.8,1
2024-05-03T06:07:00,16.6,1
2024-05-03T05:44:17,16.7,1
2024-05-02T05:15:54,16.4,1
2024-05-01T05:04:43,16.6,1
2024-04-30T05:32:22,16.4,1
2024-04-28T06:28:38,16.3,1
2024-04-25T04:24:01,16.9,1
2024-04-24T04:16:14,16.5,1
2024-04-23T06:04:53,16.6,1
2024-04-22T05:10:05,16.5,1
2024-04-21T06:00:57,16.4,1
2024-04-20T12:35:44,16.3,1
2024-04-20T03:30:14,16.0,1
2024-04-19T05:16:14,16.2,1
2024-04-19T05:00:36,16.2,1
2024-04-18T19:07:31,16.4,1
2024-04-18T17:37:33,16.5,1
2024-04-18T04:45:55,16.4,1
2024-04-18T04:38:41,16.4,1
2024-04-17T19:29:08,16.6,1
2024-04-17T04:57:22,16.6,1
2024-04-17T04:46:09,16.6,1
2024-04-16T21:06:42,16.8,1
2024-04-16T04:12:15,16.7,1
2024-04-15T18:19:54,16.9,1
2024-04-15T05:03:44,16.7,1
2024-04-14T04:19:01,16.4,1
2024-04-13T20:12:58,16.6,1
2024-04-13T05:13:14,16.4,1
2024-04-12T19:38:45,16.6,1
2024-04-12T04:48:42,16.3,1
2024-04-11T04:36:37,16.3,1
2024-04-07T04:30:23,16.6,1
2024-04-04T05:19:55,16.5,1
2024-04-03T05:51:11,16.5,1
2024-04-02T05:46:21,16.4,1
2024-04-01T05:38:34,16.7,1
2024-03-31T05:46:56,16.6,1
2024-03-30T06:23:10,16.3,1
2024-03-30T06:23:01,16.3,1
2024-03-29T05:14:03,16.6,1
2024-03-28T06:08:19,16.5,1
2024-03-27T06:33:12,16.3,1
2024-03-27T06:32:58,16.4,1
2024-03-26T05:26:47,16.3,1
2024-03-25T05:33:10,16.3,1
2024-03-24T06:40:34,16.3,1
2024-03-23T04:13:53,16.4,1
2024-03-23T04:09:00,16.5,1
2024-03-22T06:24:19,16.2,1
2024-03-21T05:32:33,16.4,1
2024-03-19T05:33:40,16.6,1
2024-03-18T05:42:20,16.6,1
2024-03-14T06:28:10,16.7,1
2024-03-13T06:17:36,16.4,1
2024-03-13T06:17:35,16.4,1
2024-03-12T06:36:26,16.6,1
2024-03-11T06:14:56,16.6,1
2024-03-10T07:35:24,16.5,1
2024-03-09T05:39:48,16.6,1
2024-03-08T06:13:16,16.4,1
2024-03-07T06:09:11,16.7,1
2024-03-06T06:16:30,16.7,1
2024-03-05T06:14:02,16.8,1
2024-03-04T06:35:12,16.9,1
2024-03-04T06:35:11,16.9,1
2024-03-03T06:19:28,16.6,1
2024-03-02T07:06:54,16.6,1
2024-03-01T07:19:59,16.7,1
2024-03-01T07:19:49,16.7,1
2024-02-29T05:59:12,16.6,1
2024-02-28T06:04:26,16.6,1
2024-02-27T05:12:53,16.4,1
2024-02-26T05:17:11,16.7,1
2024-02-23T05:26:59,16.5,1
2024-02-22T05:32:55,16.5,1
2024-02-21T05:52:39,16.6,1
2024-02-20T05:26:19,16.5,1
2024-02-01T05:26:25,16.5,1
2024-01-31T05:05:25,16.5,1
2024-01-29T05:21:54,16.3,1
2024-01-28T06:45:40,16.3,1
2024-01-27T06:16:12,16.3,1
2024-01-26T07:34:30,15.9,1
2024-01-26T06:26:51,15.8,1
2024-01-26T06:05:16,15.9,1
2024-01-25T05:36:33,16.1,1
2024-01-25T05:18:48,16.1,1
2024-01-24T05:52:30,16.2,1
2024-01-23T05:57:59,16.4,1
2024-01-22T06:38:44,16.2,1
2024-01-21T07:05:17,16.2,1
2024-01-20T06:35:54,16.0,1
2024-01-19T07:22:35,15.9,1
2024-01-18T05:00:13,15.9,1
2024-01-17T04:45:23,15.9,1
2024-01-16T07:15:43,16.2,1
2024-01-14T07:37:36,15.9,1
2024-01-13T05:15:25,16.2,1
2024-01-11T05:26:30,16.1,1
2024-01-10T10:40:59,15.8,1
2024-01-09T08:10:23,15.9,1
2024-01-07T06:36:19,15.8,1
2023-12-22T06:34:06,15.4,1
2023-12-21T06:28:57,15.8,1
2023-12-21T05:59:46,15.9,1
2023-12-20T06:47:00,15.5,1
2023-12-19T06:20:51,15.7,1
2023-12-17T07:37:41,15.5,1
2023-12-11T04:39:37,14.9,1
2023-12-10T04:55:17,15.1,1
2023-12-10T04:55:02,15.1,1
2023-12-09T09:25:17,15.2,1
2023-12-09T05:16:23,15.3,1
2023-12-05T04:19:16,15.4,1
2023-12-03T06:41:12,15.9,1
2023-12-02T06:02:11,15.8,1
2023-12-01T05:44:21,15.6,1
2023-11-30T04:36:00,15.6,1
2023-11-29T05:33:03,15.4,1
2023-11-28T04:38:46,15.4,1
2023-11-27T05:15:01,15.6,1
2023-11-26T05:41:38,15.8,1
2023-11-25T09:25:48,15.5,1
2023-11-25T05:11:49,15.7,1
2023-11-22T05:29:45,15.5,1
2023-11-20T05:47:33,15.4,1
2023-11-19T07:12:35,15.2,1
2023-11-18T05:29:21,15.2,1
2023-11-17T05:53:42,15.5,1
2023-11-16T05:38:28,15.7,1
2023-11-15T06:05:36,15.8,1
2023-11-15T06:02:01,15.8,1
2023-11-14T05:09:04,15.6,1
2023-11-13T05:50:46,15.5,1
2023-11-13T04:46:44,15.6,1
2023-11-10T04:21:26,15.3,1
2023-11-09T04:16:24,15.5,1
2023-11-08T04:16:01,15.4,1
2023-11-07T03:58:02,15.5,1
2023-11-07T02:57:52,15.5,1
2023-11-06T03:04:15,15.6,1
2023-11-06T01:36:55,15.8,1
2023-11-06T01:36:37,15.8,1
2023-11-05T03:12:16,15.9,1
2023-10-28T04:37:40,15.7,1
2023-10-27T05:12:52,15.6,1
2023-10-26T05:13:37,15.8,1
2023-10-25T06:03:52,15.6,1
2023-10-24T06:01:12,15.8,1
2023-10-23T13:52:07,15.9,1
2023-10-23T04:58:08,15.6,1
2023-10-22T06:10:49,15.7,1
2023-10-22T06:10:19,22.4,0
2023-10-22T06:07:39,22.4,0
2023-10-22T05:07:02,15.7,1
2023-10-21T05:20:12,15.5,1
2023-10-21T05:19:48,15.5,1
2023-10-21T05:19:27,15.5,1
2023-10-20T05:58:11,15.5,1
2023-10-19T15:55:20,15.7,1
2023-10-19T04:54:00,15.7,1
2023-10-18T04:16:18,15.7,1
2023-10-18T04:16:04,15.7,1
2023-10-18T04:15:51,15.7,1
2023-10-18T04:15:34,15.7,1
2023-10-18T04:07:07,15.7,1
2023-10-17T05:11:11,15.9,1
2023-10-16T05:24:17,15.9,1
2023-10-15T04:59:22,15.9,1
