date,weight
2024-05-25,180.400
2024-05-25,180.400
2024-05-25,180.400
2024-05-25,180.400
2024-05-25,180.800
2024-05-25,180.400
2024-05-26,185.000
2024-05-27,185.000
2024-05-28,184.600
2024-05-29,183.000
2024-05-30,184.400
2024-05-31,183.800
2024-06-01,183.600
2024-06-03,184.400
2024-06-04,183.600
2024-06-05,184.000
2024-06-06,183.200
2024-06-06,183.800
2024-06-07,181.600
2024-06-07,181.600
2024-06-08,182.200
2024-06-09,183.400
2024-06-09,183.600
2024-06-10,182.600
2024-06-11,181.800
2024-06-12,181.800
2024-06-13,181.400
2024-06-14,181.400
2024-06-15,180.600
2024-06-16,182.400
2024-06-17,181.800
2024-06-18,181.400
2024-06-19,181.200
2024-06-20,181.000
2024-06-21,180.800
2024-06-22,182.000
2024-06-23,184.600
2024-06-24,182.800
2024-06-25,182.400
2024-06-26,181.400
2024-06-27,180.600
2024-06-28,179.800
2024-06-28,179.800
2024-06-29,181.400
2024-07-07,179.800
2024-07-07,179.800
2024-07-08,181.400
2024-07-09,180.200
2024-07-11,180.800
2024-07-12,179.800
2024-07-13,178.800
2024-07-15,179.600
2024-07-16,178.600
2024-07-17,177.200
2024-07-18,179.200
2024-07-19,177.600
2024-07-20,178.000
2024-07-20,178.400
2024-07-21,179.000
2024-07-22,179.800
2024-07-23,179.200
2024-07-24,179.200
2024-07-25,180.600
2024-07-26,174.800
2024-07-29,181.600
2024-07-30,179.600
2024-08-05,179.800
2024-08-08,180.200
2024-09-01,182.800
2024-09-04,183.200
2024-09-06,183.600
2024-09-09,182.800
2024-09-10,183.000
2024-09-12,184.200
2024-09-13,183.600
2024-09-15,183.600
2024-09-18,183.200
2024-09-18,182.800
2024-09-29,183.600
2024-10-09,182.000
2024-10-28,184.800
2024-10-29,184.600
2024-10-30,184.400
2024-11-10,182.400
2024-11-10,182.200
2024-11-12,181.600
2024-11-13,182.400
2024-11-13,182.400
2024-11-15,182.800
2024-11-19,182.400
2024-11-24,180.200
2024-11-26,179.400
2024-12-04,179.200
2024-12-09,182.000
2024-12-20,179.000
2024-12-23,180.800
2025-01-05,182.200
2025-01-16,183.200
2025-01-29,187.600
2025-01-29,189.600
2025-02-23,189.000
2025-03-06,190.200
2025-03-11,190.200
2025-03-18,187.000
2025-03-20,187.000
2025-03-30,187.200
2025-04-18,186.400
2025-05-02,186.200
2025-05-02,186.200
2025-06-02,185.400
2025-07-14,186.800
2025-07-28,189.600
2025-07-29,187.200
2025-08-01,190.600
2025-08-08,190.000
2025-08-09,190.600
2025-08-13,189.600
2025-08-14,189.200
2025-08-15,192.000
2025-08-16,191.800
2025-08-17,190.200
2025-08-18,189.400
2025-08-19,190.400
2025-08-19,190.400
2025-08-20,190.400
2025-08-21,190.000
2025-08-22,188.400
2025-08-23,189.400
2025-08-24,188.000
2025-08-25,190.000
2025-08-26,189.200
2025-08-27,190.200
2025-08-28,189.800
2025-08-29,189.200
2025-08-30,188.800
2025-08-31,187.000
2025-08-31,187.200
2025-09-01,188.400
2025-09-02,190.000
2025-09-04,189.000
2025-09-04,189.000
